ENG	TON	XTON	LTON
60	-2.5	0	0
100	1	0.5	0.5
105	2.5	1	2
110	2.5	1	2
115	3	1	2
120	3	1	2
125	4	2	3
130	4.5	2.5	3.5
135	4.5	2.5	3.5
140	5	2.5	4
145	5	2.5	4
150	6.5	4	5.5
155	6.5	4	5.5
160	7	4	5.5
165	7	4	5.5
170	7	4	5.5
175	9	5.5	7.5
180	9	5.5	7.5
185	9.5	6	8
190	9.5	6	8
195	10	6	8
200	11.5	7.5	9.5
205	12.5	8.5	10.5
210	13	8.5	11
215	13.5	9	11.5
220	14	9	11.5
225	15	10	12.5
230	15.5	10.5	13
235	16	10.5	13.5
240	16.5	11	14
245	17	11	14
250	18.5	12.5	15.5
255	19	12.5	16
260	19.5	13	16.5
265	20	13	16.5
270	20.5	13.5	17
275	21.5	14	18
280	22	14	18
285	22.5	14.5	18.5
290	23.5	15	19.5
295	24	15	19.5
300	25	15.5	20.5
305	26.5	17	22
310	27.5	17.5	22.5
315	28.5	18	23.5
320	29.5	18.5	24
325	30.5	19	25
330	31.5	19.5	25.5
335	32.5	20	26.5
340	34	20.5	27.5
345	35.5	21.5	28.5
350	36.5	22	29.5
355	38.5	23	31
360	40	23.5	32
365	41.5	24.5	33
370	43.5	25.5	34.5
375	45.5	26.5	36
380	48	27.5	38
385	50.5	29	40
390	53	30	41.5
395	56	31.5	44
400	59.5	33.5	46.5
