wpn	clan	typ	cF	d	cd	jamChc	jamDur	dur	t	slot	ammo	xAmmo	svo:V	h	mRng	rng	mxRng	hsl	hsl group	spec type
AC/2	0	BTC	0	2	0.72	0	0	0	6	1	87	16	1	0.5	0	720	1440	0	0	0
AC/5	0	BTC	0	5	1.66	0	0	0	8	4	35	6	1	1.4	0	620	1240	5	4	0
AC/10	0	BTC	0	10	2.25	0	0	0	12	7	23	4	1	2.75	0	450	900	3	5	0
AC/20	0	BTC	0	20	4	0	0	0	14	10	8	2	1	6	0	270	540	1	2	0
LB2-X	0	BTC	0	2	0.72	0	0	0	6	4	87	16	1	0.4	0	810	2430	0	0	0
LB5-X	0	BTC	0	5	1.66	0	0	0	8	5	35	6	1	1	0	700	2100	0	0	0
LB10-X	0	BTC	0	10	2.25	0	0	0	11	6	23	4	1	2	0	540	1620	0	0	0
LB20-X	0	BTC	0	20	4	0	0	0	14	11	8	2	1	5	0	360	1080	0	0	0
RAC/2	0	BTC	1	0.9	0.137447	0	10	0	8	3	350	60	1	0.274893	0	540	1080	3	6	4
RAC/5	0	BTC	1	1.49143	0.136665	0	8	0	10	6	175	30	1	0.546662	0	450	900	2	6	5
UAC/2	0	BTC	0	4	0.72	0.15	3.25	0	7	3	87	16	2	1.6	0	700	1400	0	0	0
UAC/5	0	BTC	0	10	1.66	0.15	5.75	0	9	5	35	6	2	3.32	0	600	1200	4	4	0
UAC/10	0	BTC	0	20	2.5	0.15	7.5	0.1667	13	7	46	8	4	7	0	450	900	2	5	0
UAC/20	0	BTC	0	40	4	0.14	7.5	0.25	15	10	24	6	6	14	0	270	540	1	2	0
GAUSS	0	BTC	0	17	7	0	0	0.8	15	7	10	2	1	1.2	0	660	1320	3	3	0
L-GAUSS	0	BTC	0	11	5.25	0	0	0.5	12	5	25	4	1	0.75	0	810	1600	3	3	0
H-GAUSS	0	BTC	0	25	5	0	0	0.8	18	11	5	2	1	2	0	220	900	2	3	0
MG	0	BTC	1	0.1	0.1	0	0	0	0.5	1	2000	400	1	0	0	130	260	0	0	0
LMG	0	BTC	1	0.07	0.1	0	0	0	0.5	1	2500	500	1	0	0	250	500	0	0	0
HMG	0	BTC	1	0.15008	0.100053	0	0	0	1	1	1250	200	1	0	0	100	200	0	0	0
SL	0	ENY	0	3.25	2.25	0	0	0.75	0.5	1	0	0	1	1.1	0	150	300	0	0	0
ML	0	ENY	0	5	3.5	0	0	0.9	1	1	0	0	1	3.4	0	270	540	6	15	0
LL	0	ENY	0	9	3.1	0	0	1.1	5	2	0	0	1	7	0	450	900	3	1	0
ERSL	0	ENY	0	3.25	2.75	0	0	0.75	0.5	1	0	0	1	2.2	0	200	400	0	0	0
ERML	0	ENY	0	5	4	0	0	0.9	1	1	0	0	1	4.5	0	360	720	6	15	0
ERLL	0	ENY	0	9	3.4	0	0	1.1	5	2	0	0	1	8.75	0	675	1350	3	1	0
SPL	0	ENY	0	3.5	1.9	0	0	0.5	1	1	0	0	1	1.35	0	110	220	0	0	0
MPL	0	ENY	0	6	2.8	0	0	0.6	2	1	0	0	1	3.8	0	220	440	6	15	0
LPL	0	ENY	0	10	3	0	0	0.67	7	2	0	0	1	7.25	0	365	730	3	1	0
PPC	0	ENY	0	12	6	0	0	0	7	3	0	0	1	11	90	540	1080	2	3	1
ERPPC	0	ENY	0	12	6	0	0	0	7	3	0	0	1	14.5	0	810	1620	2	3	1
L-PPC	0	ENY	0	7	7.25	0	0	0	3	2	0	0	1	7	90	540	1080	3	3	1
H-PPC	0	ENY	0	15	5	0	0	0	10	4	0	0	1	14.5	90	540	1080	2	3	1
